Device,IPv4,IPv6,SysUpTime,Added,Location,Identifier,Description
APac2a,10.51.208.136,,,2024-06-03 23:08,,,
APac4a,172.18.90.51,,,2023-07-12 23:26,,,
APA488,172.18.90.14,,,2023-06-23 23:26,,,
APA488.7349.9A8A,10.61.205.87,,,2020-07-17 01:55,default location,,
APa488.7349.9c5c,10.61.205.252,,,2024-04-04 23:08,default location,,
APbld1Guard,10.58.50.16,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr66,Meraki MR66 Cloud Managed AP
APBld2,10.58.50.6,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr32,Meraki MR32 Cloud Managed AP
APBld7tpo,10.58.50.14,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld9out,10.58.50.17,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr66,Meraki MR66 Cloud Managed AP
APBld12a,10.58.50.8,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld14A,10.58.50.11,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld14C,10.58.50.31,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld15,10.58.50.26,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld17,10.58.50.13,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld24,10.58.50.10,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld40,10.58.50.25,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld42,10.58.50.19,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld42bw,10.58.50.7,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld43,10.58.50.24,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld53,10.58.50.5,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld53a,10.58.50.2,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld53c,10.58.50.34,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APBld57maint,10.58.50.35,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APbld57out,10.58.50.18,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr66,Meraki MR66 Cloud Managed AP
APBld60,10.58.50.15,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APCCDB,10.201.65.150,,,2021-06-26 02:10,default location,,
APCCDB.93C8.3EAC,10.201.65.139,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3FA8,10.201.65.165,,,2021-06-26 02:10,default location,,
APCCDB.93C8.3F0E,10.201.65.152,,,2021-06-26 02:10,default location,,
APCCDB.93C8.3F3C,10.201.65.125,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3F4E,10.201.65.132,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3F5A,10.201.65.133,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3F7A,10.201.65.142,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3F30,10.201.65.138,,,2021-07-01 02:09,default location,,
APCCDB.93C8.3F84,10.201.65.157,,,2021-06-26 02:10,default location,,
APCCDB.93C8.22FA,10.201.65.134,,,2021-07-01 02:09,default location,,
APCCDB.93C8.26A0,10.201.65.169,,,2021-06-26 02:10,default location,,
APCCDB.93C8.26A2,10.201.65.164,,,2021-06-26 02:10,default location,,
APCCDB.93C8.27B4,10.201.65.137,,,2021-07-01 02:09,default location,,
APCCDB.93C8.27B8,10.201.65.178,,,2021-06-26 02:10,default location,,
APCCDB.93C8.27C8,10.201.65.140,,,2021-07-01 02:09,default location,,
APCCDB.93C8.27DA,10.201.65.183,,,2021-06-26 02:10,default location,,
APCCDB.93C8.27DC,10.201.65.136,,,2021-07-01 02:09,default location,,
APCCDB.93C8.27EA,10.201.65.149,,,2021-06-26 02:10,default location,,
APCCDB.93C8.62BE,10.201.65.162,,,2021-06-26 02:10,default location,,
APCCDB.93C8.282C,10.201.65.154,,,2021-06-26 02:10,default location,,
APCCDB.93C8.1424,10.201.65.151,,,2021-06-26 02:10,default location,,
APCCDB.93C8.2692,10.201.65.155,,,2021-06-26 02:10,default location,,
APCCDB.93C8.4080,10.201.65.158,,,2021-06-26 02:10,default location,,
APCCDB.93C8.6214,10.201.65.130,,,2021-07-01 02:09,default location,,
APsfw01,10.58.50.28,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APsfw02,10.58.50.29,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APsfw03,10.58.50.30,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APsfw04,10.58.50.32,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
APStoreRm,10.58.50.3,,,2020-05-27 17:17,,MERAKI-CLOUD-CONTROLLER-MIB.mr33,Meraki MR33 Cloud Managed AP
AP002c,10.4.2.115,,,2023-08-15 23:28,,,
AP2cd0,10.201.52.140,,,2024-06-04 23:08,default location,,
AP84F1,10.144.176.81,,,2024-04-18 01:20,,,
AP090,10.207.9.90,,,2024-02-15 23:06,Big Logistic Warehouse,,
AP588b,10.20.65.117,,,2023-10-23 23:08,default location,,
AP0845,10.201.38.129,,,2023-04-21 23:22,default location,,
AP0845.D1E9.E4B8,10.201.38.148,,,2023-04-21 23:22,default location,,
AP1006,10.52.188.104,,,2024-03-27 23:06,,,
AP1006.EDD8.7D5C,10.52.188.102,,,2024-03-14 23:06,,,
AP1006.EDD8.656C,10.52.188.103,,,2024-03-27 23:06,,,
AP1006.EDD8.738C,10.52.188.101,,,2024-03-14 23:06,,,
AP2436,10.201.38.153,,,2023-04-21 23:22,default location,,
AP2436.DA34.4FAC,10.201.38.158,,,2023-04-21 23:22,default location,,
AP2436.DA34.6F1C,10.201.38.156,,,2023-04-21 23:22,default location,,
AP2436.DA34.8AC0,10.201.38.152,,,2023-04-21 23:22,default location,,
AP2436.DA34.303C,10.201.38.157,,,2023-04-21 23:22,default location,,
AP2436.DA34.4570,10.201.38.131,,,2023-04-21 23:22,default location,,
AP2436.DA34.9460,10.201.38.151,,,2023-04-21 23:22,default location,,
AP7411,10.201.38.92,,,2024-05-03 23:08,default location,,
at-wn-br-r01,10.208.55.40,,138 days 10 hours,2020-10-18 22:26,,CISCO-PRODUCTS-MIB.ciscoISR4331,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
au-bf-br-r01,10.65.0.2,,42 days 4 hours,2020-10-19 08:34,,CISCO-PRODUCTS-MIB.ciscoISR4351,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
au-bf-br-sw01,10.65.0.3,,42 days 4 hours,2020-10-19 08:36,//NSW 2322//Newcastle//Unit 10 19 Balook Drive//0//0//0,CISCO-PRODUCTS-MIB.cat36xxstack,Cisco IOS Gibraltar Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.12.5b RELEASE (fc3)
au-per-br-r01,10.65.134.10,,139 days 13 hours,2023-09-04 13:20,,CISCO-PRODUCTS-MIB.ciscoISR4351,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
au-per-br-sw01,10.65.134.12,,279 days 1 hour,2023-09-04 12:59,//6000//Perth Hub//Level 26/108 St Georges Terrace//0//Comms Room//Rack #1,CISCO-PRODUCTS-MIB.cat36xxstack,Cisco IOS Everest Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.6.5 RELEASE (fc3)
au-rl-br-igafw01,10.65.12.9,,,2021-06-30 14:34,,CISCO-PRODUCTS-MIB.ciscoASA5506,Cisco Adaptive Security Appliance Version 9.16(3)19
au-rl-br-r01,10.65.12.2,,139 days 13 hours,2020-10-19 08:38,,CISCO-PRODUCTS-MIB.ciscoISR4451,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
au-rl-br-sia01,10.149.177.162,,96 days 10 hours,2022-02-22 00:38,,FORTINET-FORTIGATE-MIB.fgModel.441,
au-rl-br-sw02,10.65.12.3,,128 days 10 hours,2020-10-19 08:40,//2143//Regents Park//Block N Unit 1 Commercial Drive 391 Park Road//0//0//0,CISCO-PRODUCTS-MIB.cat36xxstack,Cisco IOS Gibraltar Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.12.5b RELEASE (fc3)
